Location,Parking Spaces,Toilets,Baths,Price
Ikoyi,2,4,3,5500000.0
Ikoyi,2,4,3,13000000.0
Ikoyi,0,4,3,10000000.0
Ikoyi,0,4,3,13000000.0
Ikoyi,0,4,3,14500000.0
Maryland,2,4,3,1600000.0
VI,2,3,3,5000000.0
Ikoyi,3,3,4,12000000.0
Lekki,2,4,3,2800000.0
Gbagada,2,4,4,2300000.0
Oshodi,0,0,0,700000.0
Lekki,3,3,3,1600000.0
Lekki,3,3,3,2200000.0
Lekki,2,4,3,7000000.0
VI,2,4,3,2700000.0
Ajah,9,3,3,900000.0
VI,0,4,4,5000000.0
VI,0,4,3,6500000.0
Ikoyi,2,4,3,10000000.0
Ikoyi,2,4,3,13000000.0
Ikoyi,0,4,3,13000000.0
Ikoyi,6,4,4,5500000.0
Ojodu,0,2,2,350000.0
Ajah,0,4,3,1100000.0
Ajah,0,4,3,800000.0
Ajah,0,4,3,850000.0
Ajah,5,4,3,900000.0
Ojodu,0,4,3,1500000.0
Lekki,3,4,3,3500000.0
Lekki,2,4,3,2800000.0
Lekki,6,4,3,800000.0
Lekki,0,4,3,2000000.0
Ikoyi,0,4,4,10000000.0
Lekki,0,4,3,1800000.0
Lekki,2,4,3,700000.0
Ikoyi,2,4,4,11000000.0
VI,2,4,3,6000000.0
VI,2,4,3,5000000.0
Ikeja,0,4,3,5000000.0
Ikoyi,0,4,3,10000000.0
Ajah,2,3,2,1200000.0
Ikoyi,0,4,3,4000000.0
Ajah,2,4,3,900000.0
Ikeja,2,4,3,2000000.0
Gbagada,2,4,3,2200000.0
Surulere,2,4,3,1300000.0
Lekki,3,4,3,2000000.0
Lekki,6,3,3,2000000.0
Lekki,2,4,3,4500000.0
Ikoyi,2,4,3,12000000.0
Lekki,2,4,3,2800000.0
Ikoyi,2,4,3,10000000.0
Lekki,2,4,3,2000000.0
Lekki,0,4,3,3000000.0
Ajah,3,4,3,1000000.0
Gbagada,2,4,6,2200000.0
Ikoyi,4,4,3,6000000.0
VI,4,4,3,3000000.0
Lekki,1,4,3,1800000.0
Lekki,2,4,3,2200000.0
Ikoyi,3,4,3,5500000.0
Ikoyi,0,4,3,15000000.0
Surulere,3,3,3,1200000.0
Ikoyi,2,4,3,9000000.0
Ikoyi,2,4,3,9000000.0
Ikoyi,2,4,3,18000000.0
Lekki,2,4,3,2500000.0
Lekki,3,4,3,3000000.0
Lekki,2,4,3,3500000.0
VI,2,4,3,5000000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,2800000.0
Lekki,2,4,3,2500000.0
VI,2,4,3,8000000.0
Lekki,2,4,3,4500000.0
Ikoyi,2,4,3,13500000.0
Ikoyi,0,0,0,12000000.0
Ikoyi,2,4,3,8000000.0
Lekki,2,4,3,5000000.0
Lekki,2,4,3,2900000.0
VI,2,4,3,4000000.0
Lekki,2,4,3,3000000.0
Ikoyi,2,4,3,5000000.0
